timestamp	distance_cm	rssi_dbm
2026-06-23T23:15:32.230396	47.0	-73.0
2026-06-23T23:15:32.230596	53.0	-71.5
2026-06-23T23:15:32.230729	49.0	-72.0
2026-06-23T23:15:32.230807	52.0	-72.0
2026-06-23T23:15:32.230877	46.0	-72.0
2026-06-23T23:15:32.230952	46.0	-72.5
2026-06-23T23:15:32.231024	51.0	-72.5
2026-06-23T23:15:32.231100	44.0	-72.0
2026-06-23T23:15:32.231168	48.0	-72.5
2026-06-23T23:15:32.231241	45.0	-73.5
2026-06-23T23:15:32.231313	44.0	-71.0
2026-06-23T23:16:28.122695	43.0	-72.5
2026-06-23T23:16:28.122764	49.0	-72.5
2026-06-23T23:16:28.122799	49.0	-73.0
2026-06-23T23:16:28.122827	44.0	-72.0
2026-06-23T23:16:28.122855	43.0	-71.5
2026-06-23T23:16:28.122883	48.0	-72.5
2026-06-23T23:16:28.122911	47.0	-71.5
2026-06-23T23:16:28.122939	48.0	-73.5
2026-06-23T23:16:28.122966	42.0	-72.5
2026-06-23T23:16:28.122995	43.0	-72.0
2026-06-23T23:16:28.123022	45.0	-72.5
2026-06-23T23:16:28.123049	45.0	-72.5
2026-06-23T23:42:20.997060	124.0	-83.0
2026-06-23T23:42:20.997141	123.0	-79.5
2026-06-23T23:42:20.997188	114.0	-76.5
2026-06-23T23:42:20.997223	114.0	-81.0
2026-06-23T23:42:20.997251	107.0	-82.0
2026-06-23T23:42:20.997279	112.0	-80.5
2026-06-23T23:42:20.997308	109.0	-78.0
2026-06-23T23:42:20.997335	110.0	-85.0
2026-06-23T23:42:20.997363	131.0	-76.5
2026-06-23T23:42:20.997390	119.0	-76.5
2026-06-23T23:42:20.997417	114.0	-78.0
2026-06-23T23:42:20.997443	113.0	-73.5
2026-06-23T23:42:30.127329	107.0	-75.5
2026-06-23T23:42:30.127398	114.0	-75.0
2026-06-23T23:42:30.127432	105.0	-70.0
2026-06-23T23:42:30.127461	103.0	-70.5
2026-06-23T23:42:30.127490	112.0	-75.0
2026-06-23T23:42:30.127517	103.0	-65.5
2026-06-23T23:42:30.127546	104.0	-69.0
2026-06-23T23:42:30.127572	111.0	-68.0
2026-06-23T23:42:30.127599	107.0	-68.5
2026-06-23T23:42:30.127626	105.0	-71.0
2026-06-23T23:42:30.127653	92.0	-75.0
2026-06-23T23:42:30.127679	87.0	-81.5
2026-06-23T23:42:39.132181	130.0	-76.5
2026-06-23T23:42:39.132250	125.0	-79.0
2026-06-23T23:42:39.132284	136.0	-77.5
2026-06-23T23:42:39.132315	122.0	-76.0
2026-06-23T23:42:39.132343	116.0	-75.0
2026-06-23T23:42:39.132371	121.0	-75.5
2026-06-23T23:42:39.132398	122.0	-76.5
2026-06-23T23:42:39.132433	126.0	-78.0
2026-06-23T23:42:39.132459	132.0	-76.5
2026-06-23T23:42:39.132487	133.0	-77.5
2026-06-23T23:42:48.142379	113.0	-78.5
2026-06-23T23:42:48.142447	114.0	-79.0
2026-06-23T23:42:48.142481	117.0	-80.0
2026-06-23T23:42:48.142511	119.0	-78.5
2026-06-23T23:42:48.142541	114.0	-79.5
2026-06-23T23:42:48.142570	114.0	-80.0
2026-06-23T23:42:48.142597	117.0	-79.5
2026-06-23T23:42:48.142626	116.0	-79.5
2026-06-23T23:42:48.142654	115.0	-79.0
2026-06-23T23:42:48.142681	117.0	-79.5
2026-06-23T23:42:48.142709	115.0	-79.5
2026-06-23T23:42:48.142737	115.0	-78.5
2026-06-23T23:42:57.267576	116.0	-72.0
2026-06-23T23:42:57.267639	97.0	-78.0
2026-06-23T23:42:57.267673	91.0	-78.0
2026-06-23T23:42:57.267703	94.0	-80.0
2026-06-23T23:42:57.267730	90.0	-79.0
2026-06-23T23:42:57.267758	86.0	-78.0
2026-06-23T23:42:57.267785	86.0	-76.5
2026-06-23T23:42:57.267822	86.0	-77.0
2026-06-23T23:42:57.267849	90.0	-77.5
2026-06-23T23:42:57.267877	91.0	-77.5
2026-06-23T23:42:57.267970	89.0	-76.5
2026-06-23T23:43:06.262681	167.0	-73.5
2026-06-23T23:43:06.262750	170.0	-77.0
2026-06-23T23:43:06.262784	175.0	-72.5
2026-06-23T23:43:06.262813	166.0	-81.0
2026-06-23T23:43:06.262840	209.0	-83.5
2026-06-23T23:43:06.262868	174.0	-83.0
2026-06-23T23:43:06.262893	172.0	-83.5
2026-06-23T23:43:06.262921	162.0	-85.0
2026-06-23T23:43:06.262947	151.0	-85.5
2026-06-23T23:43:06.262974	159.0	-84.0
2026-06-23T23:43:06.262999	152.0	-84.0
2026-06-23T23:43:15.377779	175.0	-81.5
2026-06-23T23:43:15.377847	183.0	-76.5
2026-06-23T23:43:15.377883	179.0	-71.5
2026-06-23T23:43:15.377914	169.0	-74.5
2026-06-23T23:43:15.377943	171.0	-74.5
2026-06-23T23:43:15.377972	167.0	-76.0
2026-06-23T23:43:15.377999	167.0	-75.0
2026-06-23T23:43:15.378025	168.0	-76.0
2026-06-23T23:43:15.378051	165.0	-75.0
2026-06-23T23:43:15.378077	169.0	-75.0
2026-06-23T23:43:15.378103	161.0	-76.5
2026-06-23T23:43:15.378130	164.0	-77.0
2026-06-23T23:43:24.376026	181.0	-79.5
2026-06-23T23:43:24.376099	181.0	-79.5
2026-06-23T23:43:24.376130	181.0	-80.5
2026-06-23T23:43:24.376159	180.0	-78.0
2026-06-23T23:43:24.376188	180.0	-79.5
2026-06-23T23:43:24.376217	179.0	-79.0
2026-06-23T23:43:24.376244	183.0	-80.5
2026-06-23T23:43:24.376271	182.0	-80.0
2026-06-23T23:43:24.376298	179.0	-79.0
2026-06-23T23:43:24.376325	183.0	-80.0
2026-06-23T23:43:24.376351	183.0	-79.0
2026-06-23T23:43:33.488337	177.0	-79.0
2026-06-23T23:43:33.488420	182.0	-79.0
2026-06-23T23:43:33.488470	183.0	-79.5
2026-06-23T23:43:33.488521	183.0	-77.5
2026-06-23T23:43:33.488565	184.0	-78.5
2026-06-23T23:43:33.488608	185.0	-78.5
2026-06-23T23:43:33.488653	181.0	-77.5
2026-06-23T23:43:33.488695	181.0	-78.0
2026-06-23T23:43:33.488735	180.0	-78.0
2026-06-23T23:43:33.488775	183.0	-78.0
2026-06-23T23:43:33.488815	181.0	-79.0
2026-06-23T23:43:33.488854	183.0	-80.5
2026-06-23T23:43:42.512388	193.0	-72.5
2026-06-23T23:43:42.512457	191.0	-72.5
2026-06-23T23:43:42.512488	198.0	-72.5
2026-06-23T23:43:42.512522	195.0	-72.5
2026-06-23T23:43:42.512551	196.0	-73.5
2026-06-23T23:43:42.512579	199.0	-72.5
2026-06-23T23:43:42.512607	197.0	-72.5
2026-06-23T23:43:42.512635	194.0	-72.0
2026-06-23T23:43:42.512661	189.0	-73.0
2026-06-23T23:43:42.512689	192.0	-73.5
2026-06-23T23:43:42.512716	195.0	-73.5
2026-06-23T23:43:42.512744	192.0	-73.0
2026-06-23T23:43:42.512771	192.0	-74.0
2026-06-23T23:43:51.700357	190.0	-75.0
2026-06-23T23:43:51.700421	189.0	-74.5
2026-06-23T23:43:51.700460	190.0	-75.0
2026-06-23T23:43:51.700488	193.0	-75.5
2026-06-23T23:43:51.700517	194.0	-74.5
2026-06-23T23:43:51.700547	190.0	-75.5
2026-06-23T23:43:51.700574	188.0	-74.5
2026-06-23T23:43:51.700602	185.0	-74.0
2026-06-23T23:43:51.700629	188.0	-74.5
2026-06-23T23:43:51.700657	187.0	-74.5
2026-06-23T23:43:51.700685	189.0	-75.0
2026-06-23T23:43:51.700712	186.0	-75.5
2026-06-23T23:44:00.864836	189.0	-76.0
2026-06-23T23:44:00.864898	191.0	-76.0
2026-06-23T23:44:00.864932	184.0	-76.0
2026-06-23T23:44:00.864961	186.0	-75.5
2026-06-23T23:44:00.864996	190.0	-76.0
2026-06-23T23:44:00.865025	193.0	-75.0
2026-06-23T23:44:00.865052	192.0	-75.0
2026-06-23T23:44:00.865079	192.0	-75.5
2026-06-23T23:44:00.865108	186.0	-75.5
2026-06-23T23:44:00.865137	187.0	-76.5
2026-06-23T23:44:00.865164	185.0	-76.0
2026-06-23T23:44:00.865191	192.0	-76.0
2026-06-23T23:44:09.837519	153.0	-82.0
2026-06-23T23:44:09.837581	158.0	-81.5
2026-06-23T23:44:09.837622	160.0	-78.5
2026-06-23T23:44:09.837653	160.0	-78.0
2026-06-23T23:44:09.837680	156.0	-77.5
2026-06-23T23:44:09.837708	155.0	-77.5
2026-06-23T23:44:09.837736	159.0	-77.5
2026-06-23T23:44:09.837764	155.0	-76.5
2026-06-23T23:44:09.837792	159.0	-77.5
2026-06-23T23:44:09.837821	160.0	-77.5
2026-06-23T23:44:09.837848	160.0	-76.5
2026-06-23T23:44:09.837875	159.0	-77.5
2026-06-23T23:44:18.983485	165.0	-81.5
2026-06-23T23:44:18.983553	175.0	-78.0
2026-06-23T23:44:18.983587	172.0	-79.0
