model,test_scene,test_loss,test_acc,n_test_samples,train_windows_total,train_windows_discarded,train_discard_pct,test_windows_total,test_windows_discarded,test_discard_pct
SIMPLE_LSTM,scene1,0.14254112541675568,0.9867841601371765,227,893,27,3.0235162374020157,227,0,0.0
STACKED_LSTM,scene1,0.1690140664577484,0.9779735803604126,227,893,27,3.0235162374020157,227,0,0.0
CNN_2LSTM,scene1,0.10450507700443268,0.9823788404464722,227,893,27,3.0235162374020157,227,0,0.0
XGBOOST,scene1,0.03718223219352699,0.9823788546255506,227,893,27,3.0235162374020157,227,0,0.0
SVM,scene1,0.29963605092429135,0.748898678414097,227,893,27,3.0235162374020157,227,0,0.0
SIMPLE_LSTM,scene2,0.5052103400230408,0.9372822046279907,287,816,10,1.2254901960784315,304,17,5.592105263157895
STACKED_LSTM,scene2,2.6488633155822754,0.8013937473297119,287,816,10,1.2254901960784315,304,17,5.592105263157895
CNN_2LSTM,scene2,0.17634177207946777,0.9616724848747253,287,816,10,1.2254901960784315,304,17,5.592105263157895
XGBOOST,scene2,0.23094297275155334,0.9024390243902439,287,816,10,1.2254901960784315,304,17,5.592105263157895
SVM,scene2,0.30020296220526543,0.89198606271777,287,816,10,1.2254901960784315,304,17,5.592105263157895
SIMPLE_LSTM,scene3,0.62190842628479,0.9363957643508911,283,828,17,2.0531400966183573,292,9,3.0821917808219177
STACKED_LSTM,scene3,0.22200234234333038,0.9787985682487488,283,828,17,2.0531400966183573,292,9,3.0821917808219177
CNN_2LSTM,scene3,0.4490262269973755,0.9505300521850586,283,828,17,2.0531400966183573,292,9,3.0821917808219177
XGBOOST,scene3,0.12572703400105073,0.9611307420494699,283,828,17,2.0531400966183573,292,9,3.0821917808219177
SVM,scene3,0.04348941386257783,0.9858657243816255,283,828,17,2.0531400966183573,292,9,3.0821917808219177
SIMPLE_LSTM,scene4,0.022141749039292336,0.9927797913551331,277,843,26,3.0842230130486357,277,0,0.0
STACKED_LSTM,scene4,0.3466939628124237,0.8844765424728394,277,843,26,3.0842230130486357,277,0,0.0
CNN_2LSTM,scene4,0.42536696791648865,0.916967511177063,277,843,26,3.0842230130486357,277,0,0.0
XGBOOST,scene4,0.03231148153386475,0.9927797833935018,277,843,26,3.0842230130486357,277,0,0.0
SVM,scene4,0.19158972379672856,0.9025270758122743,277,843,26,3.0842230130486357,277,0,0.0
